name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Institut Seni Indonesia Yogyakarta,MjJCNzAwQjItNzFBRS00QjA2LTgzQjItMkEyMTAwNjQ1NTA5,"Jalan Parangtritis Km 6,5 Sewon, Bantul ",Kab. Bantul,"0274-379133, 373659",arts@isi.ac.id,www.isi.ac.id,394,6760,364,6259,382,6577,381,5961,435,5963,424,4787,430,6293,425,5167
Universitas Airlangga,NUFBREYzREYtRDBGOC00QTE3LUJERkQtNjEwOEZDNUNFNDA1,Kampus C Mulyorejo ,Kec. Mulyorejo,"031-5914042, 5914043",adm@pkip.unair.ac.id,www.unair.ac.id,3545,38148,3577,35733,4072,39930,3837,35132,5751,41899,5637,37948,6054,43686,5489,23709
Universitas Brawijaya,OTlBM0I3QUYtNjQ3MC00RDE4LThCMDYtMDk5NDFFNjYzQjA3,Jalan Veteran ,Kec. Lowokwaru,0341-551611,rektorat@ub.ac.id,www.ub.ac.id,5066,69759,4583,63933,5259,72669,5103,65809,5803,75167,5341,70096,5830,78946,5285,68783
Universitas Jember,Qjk1MDdGQUItMjg3NC00RENELTlDMzctNEM5MjFDMjMxMjEw,Jalan Kalimantan No 37 Kampus Tegalboto,Kec. Sumbersari,0331330224,humas@unej.ac.id,www.unej.ac.id,4054,36306,3714,33498,4362,41599,3573,36478,4065,43252,3651,40921,4385,47863,3953,44522
Universitas Negeri Malang,N0FDNTEyNjUtRUNDMi00NEQ3LThGQjItNzE3RDNDRjFBQkM1,Jalan Semarang 5 Malang,Kec. Lowokwaru,0341-551312,rektorat@um.ac.id,www.um.ac.id,2422,40983,2405,36526,2469,42498,1928,37302,2545,40718,2188,35677,2908,49337,2504,39580
Universitas Negeri Surabaya,Q0IxMTU0QjQtMTBCQS00NzEyLUI5MTYtMzYwNTFCQTdDMzJG,Jalan Ketintang ,Kota Surabaya,03199423002,rektor@unesa.ac.id,www.unesa.ac.id,2330,31880,2264,27594,2298,31244,2099,31121,2317,33360,2104,29595,2895,41721,2454,38081
Universitas Islam Negeri Maulana Malik Ibrahim,N0ZGOUU1MzktN0JGNC00NDdDLUEyNTgtODBFRTdDRjlBOERG,Jalan Gajayana No 50 ,Kec. Lowokwaru,+62341 551354,info@uin-malang.ac.id,www.uin-malang.ac.id,982,18655,939,16595,946,19535,1005,18170,1095,21242,1106,19533,1230,22667,827,0
Institut Teknologi Sepuluh Nopember,ODlDODJEQTMtN0IyOC00MzA1LTgyQzQtMzQ3REFFMDQyODQ3,Kampus ITS Sukolilo ,Kec. Sukolilo,031-5994251-4 (1132),dptsi@its.ac.id,www.its.ac.id,1811,23397,2674,19703,2999,23900,2916,21530,3321,23692,2912,22615,3953,25617,2125,24376
Institut Agama Islam Negeri Kediri,MzQ0NTI1QTAtMDQyNy00NzU2LUIyMjUtRjA4QUVEMjI0OUQ4,"Jalan Sunan Ampel No.7, Ngronggo",Kec. Kota Kediri,0354-689282,info@iainkediri.ac.id,http://iainkediri.ac.id/,473,11843,441,11870,530,13195,594,13101,692,14332,651,14224,806,14681,841,13359
Institut Agama Islam Negeri Madura,NzIwMjk4RjMtRDMwNS00REE1LTlBRDctQkI1QTQxQjdFOUJD,-,Kab. Pamekasan,0324 327248,info@iainmadura.ac.id,https://iainmadura.ac.id/,276,9080,317,7747,400,10041,353,9343,384,10183,415,10377,482,9987,443,9503
Politeknik Negeri Jember,QzhEREJBRTgtM0ExMS00MTU2LTlGREItOUY1N0Q0MEJCNEMw,"Jalan Mastrip, Sumbersari ",Kab. Jember,"(0331)333532,333533",politeknik@polije.ac.id,www.polije.ac.id,355,9639,391,9227,400,11280,392,10298,522,11407,522,9374,602,10460,587,9529
Politeknik Elektronika Negeri Surabaya,NEUwN0FCOUMtQkREQS00MTY4LUI2MkItNkMwOUU4RkEwNTY3,"Jl. Raya ITS - Kampus PENS, Sukolilo, Surabaya ",Kec. Sukolilo,031-5947280,pens@pens.ac.id,www.pens.ac.id,340,4484,314,3542,390,3762,376,3547,458,3936,438,3651,443,4190,436,4031
Politeknik Negeri Malang,MDVBRDAwMDItRDBCOC00MTEzLThCMEUtNkM3Q0MyNkUwN0I3,Jalan Soekarno Hatta No 9 ,Kec. Lowokwaru,0341404424,cs@polinema.ac.id,www.polinema.ac.id,953,13451,940,12989,1013,13731,977,12963,1153,14080,1090,13135,1185,13894,1141,13452
Politeknik Negeri Madiun,N0RCMEU1RjEtRDFEOS00MkZFLUJDMjYtRDdFQUNGNENGRTI2,Jl.Serayu No.84 Madiun ,Kota Madiun,0351-452970,sekretariat@pnm.ac.id,www.pnm.ac.id,96,1880,87,1805,84,2208,99,2071,133,2173,132,2126,163,2392,157,2356
Politeknik Negeri Banyuwangi,QjlCM0Y3MjktOUM1Qi00QzgyLThCMzYtNEQ2M0RFQ0NDREIy,Jl.Raya Jember KM 13 Labanasem Kecamatan Kabat Kabupaten Banyuwangi ,Kec. Kabat,(0333)636780,poliwangi@poliwangi.ac.id,www.poliwangi.ac.id,77,3918,91,3731,94,4577,97,4300,125,4799,155,3213,144,3797,135,2534
Politeknik Negeri Madura,QjI3Qzg3QkMtMTJFMi00MDQyLUFDRUMtOTZCNDYxOUJBNDgw,Jl. Raya Camplong Km. 4 Taddan Camplong Sampang Jawa Timur 69281.,Kab. Sampang,0323-327777,sekretariat@poltera.ac.id,www.poltera.ac.id,50,729,55,697,50,790,50,789,54,798,56,723,76,853,73,831
Politeknik Kelautan dan Perikanan Sidoarjo,MkMyRUNGRDQtMTk4Qi00NDFBLThFNTYtRDNFQkMwQTUwODc2,Jl. Raya Buncitan KP 1 Sedati Sidoarjo,Kab. Sidoarjo,0318911380,poltekkpsidoarjo@kkp.go.id,http://poltekkpsidoarjo.kkp.go.id/,72,652,41,630,68,719,36,718,78,810,52,809,73,700,58,700
Politeknik Perkapalan Negeri Surabaya,RDhDQ0IxN0MtQUJBNS00OThFLUEyNjAtNUJCNkYyREI1ODE5,Jalan Teknik Kimia Kampus Its Sukolilo,Kota Surabaya,031-5947186,humas@ppns.ac.id,www.ppns.ac.id,429,2873,441,2889,412,3336,404,3038,413,3160,366,3095,444,3758,320,3187
Politeknik Pembangunan Pertanian Malang,QzcxQjhFNjAtNjkwNC00Qzg5LUE0MjYtMjEwQUFFMjY4QTA3,,Kec. Lawang,0341 427773,official@polbangtanmalang.ac.id,polbangtanmalang.ac.id,36,923,27,923,49,922,60,890,76,1125,72,1124,62,1202,0,78
Akademi Komunitas Negeri Pacitan,MTYyNEVDNjItM0RDRi00NTQwLUIzM0YtRUIzQUJDNzZFQzk2, ,Kab. Pacitan,0357-881657,info@aknpacitan.ac.id,http://www.aknpacitan.ac.id,21,219,18,196,20,193,20,188,21,172,23,172,24,201,22,186
Akademi Komunitas Negeri Putra Sang Fajar Blitar,MTFDMTkzODMtRTcwRS00MEZFLThBQTMtREYzNjlGQTg3QzlF, Jl. dr. Sutomo No. 51,Kec. Sanan Wetan, (0342) 814644, akn.psf.blitar@gmail.com, akb.ac.id,17,77,14,75,15,105,17,99,19,151,20,138,40,200,39,195
Universitas Pendidikan Ganesha,QzI5RkIzOTEtRDBCQS00RTQyLUIyQkMtRkM4OUNCNEFEM0ZF,Jalan Udayana Nomor 11 Singaraja ,Kec. Buleleng,0362-22570,humas@undiksha.ac.id,www.undiksha.ac.id,2370,13671,2154,11797,893,14525,2126,12567,2246,14981,1654,13574,2334,18813,2278,11893
Universitas Udayana,NEFGNzM0OTgtMzgwMy00RjQ5LUFBNjQtQ0FGODJDNTU0Q0NF,"Jl.Kampus Bukit UNUD Jimbaran ,Badung-Bali",Kab. Badung,0361-701954,info@unud.ac.id,www.unud.ac.id,3868,41974,3644,29039,3657,29091,3498,27569,4193,31894,4155,28461,4434,31034,4238,27506
Institut Seni Indonesia Denpasar,QzIwMTc0MjMtMjYzQS00MEVFLUI5QjAtRUExQzg0Nzg3Mzc1,Jalan Nusa Indah ,Kota Denpasar,0361227316,rektor@isi-dps.ac.id,www.isi-dps.ac.id,342,2255,335,2706,344,2373,360,2299,315,2583,280,2105,338,2852,340,2505
Politeknik Negeri Bali,RTkyNzY0NjQtNUJBMi00MjEwLUI5NzItOTY2NzY5QzlBRjE1,Kampus Politeknik Negeri Bali Bukit Jimbaran Kuta Selatan Badung-Bali,Kab. Badung,0361-701981,poltek@pnb.ac.id,www.pnb.ac.id,501,5383,472,5342,532,6185,492,5967,535,6626,518,6438,668,7137,612,0
Politeknik Pariwisata Bali,NERBMzYzQTctMTlENi00NjQ2LUE3REYtODgyNzYyNzQ2NUNE,,Kec. Kuta Selatan,0361773537,info@ppb.ac.id,https://ppb.ac.id,0,3533,0,3533,48,4865,36,4121,41,5289,34,4420,251,2752,218,0
Universitas Mataram,QzE1NkRFRkQtNzgyQS00NTlCLUIxMzQtMjRDNDY0OEE5RDEz,Jalan Majapahit No 62 ,Kec. Selaperang,0370-633007,rektor@unram.ac.id,www.unram.ac.id,1866,34650,1733,29532,1874,35121,1761,32323,2167,37159,1983,33540,2411,42653,2275,19380
Universitas Islam Negeri Mataram,NzcxQkY3MzctRTAwMS00ODA3LUIxNDYtQzY5NDEzMkE0RUMx,"Jalan Gajah Mada No. 100, Pagesangan, Mataram, Jempong Baru, Kec. Sekarbela",Kota Mataram,(0370) 621298,info@uinmataram.ac.id,uinmataram.ac.id,0,11544,0,10554,0,12454,0,11390,0,13203,16,11661,265,15254,651,15158
Institut Agama Kristen Negeri Kupang,RDY5ODY2MzItQjgzNy00NEE5LUIxNEQtRjg4RDM4M0JCOEZE,,Kota Kupang,,,https://www.iaknkupang.ac.id/,0,2140,0,2140,0,1048,0,1029,0,1030,0,670,2,188,0,259
Politeknik Negeri Kupang,MEY3RjYyMzEtMzU0My00NjhCLUFGMzAtNDFGNUIyQ0I1OTk5,Jalan Adisucipto Penfui ,Kota Kupang,"0380 881245, 881246",pnkkupang@gmail.com,www.pnk.ac.id,377,7312,359,6719,242,7362,349,6692,320,6391,358,6164,396,8773,0,1
Politeknik Pertanian Negeri Kupang,NkE0QzY4MzgtM0NERC00NUQ3LTlBREItM0U5QTdCMzUyNkI3,Jalan Adisucipto Penfui ,Kota Kupang,0380 881600,politanikoe@yahoo.com, www.politanikoe.ac.id,281,4524,248,4523,303,4810,268,4162,323,4823,301,4040,331,4527,286,284
Universitas Nusa Cendana,NDc2RjBCMEItNDhENS00MzhBLTk3MjEtNDFBMUNFQjY0N0Ix,Jalan Adisucipto Penfui ,Kota Kupang,(0380) 881580,info@undana.ac.id, https://www.undana.ac.id,1110,29957,929,29535,999,30856,1055,31648,1209,32056,1203,29449,1275,33786,1221,21531
Sekolah Tinggi Agama Katolik Negeri Pontianak,NEU3QTQ0RTAtMUExOC00MzMzLTg4QTEtMDk2RjA5REJBQ0NG,"Jl. Parit Haji Muksin 2, KM 2 Kubu Raya",Kab. Kuburaya,(0561) 6710424,stakatnegeripontianak@mail.com,stakatnptk.ac.id,3,1101,3,1124,1,1506,5,1452,5,1872,5,1706,35,1040,35,886
Politeknik Negeri Ketapang,OUY4MkFCOEMtREZFQi00OTkzLTlDRkMtMEIwMkFDRTMyQ0I1,"Jalan Rangge Sentap, Desa Dalong, Kecamatan Delta Pawan",Kec. Delta Pawan,0534-3030686,humas@politap.ac.id,politap.ac.id,13,2141,8,2087,13,2541,10,2463,95,1665,84,1399,100,1477,85,0
Politeknik Negeri Pontianak,MDc4N0M0QzktOUE5OC00RkYyLUIwODMtRjk1MjhEN0U2RDI1,Jalan Ahmad Yani ,Kec. Pontianak Tenggara,0561736180,kampus@polnep.ac.id,www.polnep.ac.id,619,6869,563,6859,619,7677,546,7517,608,7826,581,7398,605,7913,24,0
Politeknik Negeri Sambas,MkM2MDNBQTAtNjgyOC00RTM3LThFNjQtOTBFNTg2MUI2NEY2,"Jalan Raya Sejangkung - Sambas , Kalimantan Barat",Kec. Sambas,0562 6303333,info@poltesa.ac.id,www.poltesa.ac.id,127,1511,124,1428,122,1633,121,1549,118,1761,110,1734,121,1978,106,187
Universitas Tanjungpura,RUYyQTU1QjctMUNCOC00MEZDLThEMzctQjExMDQ0MEU0MjVF,Jalan Jenderal Ahmad Yani ,Kec. Pontianak Tenggara,"0561-736033,739630",1) untan_59@untan.ac.id; 2) untan_59@untan.ac.id,https://untan.ac.id,2008,36452,1772,32663,1996,36429,1728,33805,2079,38973,1804,34820,2119,39430,1928,34634
Universitas Palangka Raya,NThGQ0ZFN0EtQjBEMy00Rjc1LTkwOTktNEVDRjg0MUYzOEVB,Kampus Unpar Tunjung Nyaho Jl. Yos Sudarso,Kota Palangka Raya,0536-3227111,info@upr.ac.id,upr.ac.id,1057,18856,914,17286,1059,19973,966,16290,1187,21290,1003,18083,1253,22183,1305,1721
Politeknik Negeri Banjarmasin,OEM2REI1NEUtQkUyRC00OTNELTgyOEEtRUZENzNFOTQ4MkI5,Jalan Brigjen H Hasan Basry Komplek Unlam,Kota Banjarmasin,0511-3305052,poliban@poliban.ac.id,www.poliban.ac.id,254,2886,245,2854,307,3302,284,3312,310,3405,327,3418,356,3688,340,0
Politeknik Negeri Tanah Laut,MEUxOUZDOUUtQzg4NS00OTUwLUE2OTMtN0RCQTA5QzM4NkQ3,Jl. Ahmad Yani Km.06 Desa Panggung Kecamatan Pelaihari,Kec. Pelaihari,05122021065,mail@politala.ac.id,www.politala.ac.id,78,1038,75,905,81,1101,86,1019,128,1140,114,1123,138,1431,124,1396
Universitas Lambung Mangkurat,NzM0MzdDRTAtMTYyRC00RDI0LTg2QkUtRDQxOUY5NTE4NjhE,Jalan Brigjen H Hasan Basri ,Kec. Banjarmasin Utara,0511306694,humas@ulm.ac.id,http://www.ulm.ac.id,1877,44205,1651,39692,2155,42396,2105,31495,2612,36392,2550,32433,2949,35845,2656,31677
Institut Teknologi Kalimantan,M0M2OTAwRjQtQTgwMS00RjRDLUFCRTEtRDE0ODU1ODlCMDdG,,Kota Balikpapan, 0542-8530801,humas@itk.ac.id,www.itk.ac.id,175,3247,153,3101,194,3624,179,3466,318,4102,271,3958,384,4829,353,4504
Politeknik Negeri Balikpapan,MTM4NjRCNjktMzhGNC00RTI2LTg5NjMtQzU5Qzk0QjU2NjVG,Jl. Soekarno Hatta Km. 8 Balikpapan ,Kec. Balikpapan Utara,(0542) 860895,admin@poltekba.ac.id,www.poltekba.ac.id,85,1204,86,1201,95,1419,96,1410,99,1591,126,1365,147,1540,140,1511
Politeknik Negeri Samarinda,NEQ1NUNFRjctRjRDQy00QjlBLUJFQzItRkIzQ0JCQTlFNDBC,Jl Cipto Mangunkusumo  Kampus Gunung Lipan ,Kec. Samarinda Seberang,0541-260588,polnes@polnes.ac.id,www.polnes.ac.id,499,6788,422,6489,512,6977,429,6735,400,7259,392,5641,512,6172,450,5785
Universitas Mulawarman,RTg5MEVGRDYtRURDMy00NkI5LThERjYtRTlGMjRCRDhFMUEy,Jalan Kuaro Gunung Kelua ,Kec. Samarinda Ulu,0541741118,rektorat@unmul.ac.id,www.unmul.ac.id,1487,35186,1187,32563,1687,32480,1384,31456,1803,32160,1688,33704,2249,37246,2116,28026
Universitas Islam Negeri Sultan Aji Muhammad Idris Samarinda,NzNFMDY5NjItNEY5MC00OUY1LThGQjYtOTM2NzAxMzFEOTY1," Jl . H. A. M. Rifaddin, Harapan Baru, Kec. Loa Janan Ilir, Kota Samarinda, Kalimantan Timur",Kota Samarinda,0541 7270222,uinsisamarinda@uinsi.ac.id,https://www.uinsi.ac.id,0,5235,0,5236,0,7079,0,7366,616,9334,595,8281,671,9635,523,990
Universitas Borneo Tarakan,QkNCRTQxRjMtQzM1Qi00NTkxLThDMjAtOTg5NzExREREMDRE,Jl. Amal Lama No.01 Tarakan ,Kota Tarakan,08115307023,ubt@borneo.ac.id,https://www.ubt.ac.id/,498,7097,462,6741,550,7974,475,7517,524,8872,456,8438,596,9891,514,9094
Politeknik Negeri Nunukan,MkJDNzM0NTEtNDBBRC00RTk4LUE4OUItRkU0OTVDMzVEOUIw,,Kab. Nunukan,,,,0,149,0,149,0,243,0,243,0,388,0,388,38,363,38,0
Institut Agama Kristen Negeri Manado,QUQzRkI4MjItRjYxNS00MERELTkzODgtRTBCOUNCODg3Nzk0,,Kab. Minahasa,,info@iaknmanado.ac.id,www.iaknmanado.ac.id,158,3032,129,2658,204,3081,188,3036,210,3211,198,2423,284,2770,17,1053
Politeknik Negeri Manado,N0NBMTAyNDktNkM2RS00MEQ3LThBNkQtRDNBQzQzQjNFQzZB,Kampus Desa Buha Kecamatan Mapanget,Kota Manado,0431-815212,informasi@polimdo.ac.id,www.polimdo.ac.id,534,4888,531,4786,566,5030,543,4905,589,5239,557,4847,621,5314,584,306
Politeknik Negeri Nusa Utara,QTJFM0Y5MTMtRTJDRi00M0I1LUIxNTItRUVEQjBDRDk5MTQ1,"Jln.Kesehatan No.01 Tahuna Kabupaten Sangihe ,Sulawesi Utara ",Kab. Kep. Sangihe,0432-24745,info@polnustar.ac.id,www.polnustar.ac.id,113,639,90,554,101,977,90,813,124,838,89,983,55,764,63,971
Universitas Negeri Manado,RTM0NzU2MjItRDk2NS00NkJBLTg2QTYtM0I4RjhGOEM1MkU3,Jalan Kampus Unima ,Kec. Tondano Selatan,04321321845, info@unima.ac.id, www.unima.ac.id,1736,21363,1454,20887,1745,22850,1480,21631,1716,26288,1449,26736,1589,27403,0,132
Universitas Sam Ratulangi,RTE4RkZCQkMtMUJEOS00OTQyLTg1RDItMTNCMDIyMkVFMENG,Kampus Unsrat Bahu ,Kec. Malalayang,0431-863886,rektorat@unsrat.ac.id,www.unsrat.ac.id,2673,35461,2453,31128,2615,34952,2401,32340,2600,35805,2388,32872,2661,37732,2495,25324
Universitas Negeri Gorontalo,MjAxRDE1QjMtMEY1OC00QThBLUFGRUUtMkFEQjVBQTRBQjlE,Jalan Jenderal Sudirman No 6 Kec. Kota Tengah Kel. Wumialo ,Kota Gorontalo,(0435)821125,rektorat@ung.ac.id,www.ung.ac.id,1461,28656,1381,26086,1604,28535,1446,26698,1701,28980,1427,26053,1819,29988,1545,27067
Universitas Tadulako,OEU1RDE5NUEtMDAzNS00MUFBLUFGRUYtREI3MTVBMzdCOERB,Kampus Bumi Tadulako Tondo ,Kota Palu,0451-422611,untad@untad.ac.id,www.untad.ac.id,1880,42113,1804,38623,2095,45931,2076,43524,3171,48530,2666,44944,3097,53821,2713,33513
Universitas Hasanuddin,REUyQ0Y5MTAtMUI5OC00RTQ4LUE2NjUtNENBOEY2MDA1MjU5,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Kota Makassar,0411-586200,rector@unhas.ac.id,www.unhas.ac.id,4006,35572,4172,32053,5176,37154,4827,35689,5258,42451,5241,39921,6157,45419,5700,31664
Universitas Negeri Makassar,QzZFQUQwN0UtNDMzRi00Q0U4LTk5MkUtNDFBNTBGMkM3MThB,Jalan A P Pettarani Gunungsari,Kec. Rappocini,0411865677,admin@unm.ac.id,www.unm.ac.id,2476,35948,2486,33926,2761,40645,2197,37809,2506,47499,2068,41232,3026,55997,2114,1227
Universitas Islam Negeri Alauddin Makassar,RUM4MDc3NEUtOUIxQy00ODE3LUIzQUEtNzlBOTJCOUI0MDU2,Kampus II UIN alauddin Makassar Jl. H. M. Yasin Limpo No. 36 Kel. Romang Polong Kec. Somba Opu Kab. Gowa,Kec. Somba Opu,0411-864-924,kontak@uin-alauddin.ac.id,www.uin-alauddin.ac.id,1449,26207,1458,24943,1862,33123,1854,26740,2011,27270,1872,27408,2046,29190,1887,5729
Institut Teknologi Bacharuddin Jusuf Habibie,QjkxMzIwREEtRTVCNy00MTdGLUJGOEUtMTNFNjY3OTcxMEZB, ,Kec. Bacukiki,(0421) 2924000,rektorat@ith.ac.id,https://ith.ac.id/,0,0,0,0,0,0,0,0,0,0,0,0,33,208,28,207
Institut Agama Islam Negeri ParePare,ODNBRjE1QjQtNjREMi00MkNGLTgyNjktOEM3RDE3QkQ4MUJC,,Kota Pare-Pare,042121307,mail@iainpare.ac.id,www.iainpare.ac.id,456,8464,564,9000,658,8326,628,7347,743,8320,622,7339,674,7982,638,7172
Institut Agama Islam Negeri Bone,MkVCNEJCODEtOTMzRi00MDJBLTk3RTUtMTJCMEYwNkU1MUZF,"Jl. Hos Cokroaminoto Watampone, Kab. Bone, Propinsi Sulawesi Selatan",Kab. Bone,,info@iain-bone.ac.id,iain-bone.ac.id,235,8908,210,8109,239,8798,233,7860,311,8330,298,7849,442,7678,351,7308
Politeknik Kelautan dan Perikanan Bone,Qjg0NTk4NTYtNDQ3MS00QkU4LThDOUQtRkJFMUZDQTg4MzdG,Jl. Sungai Musi  Km. 9,Kec. Tanete Riattang,(0481)2920204,poltekkp.bone@gmail.com,www.poltekkpbone.ac.id,33,259,27,259,27,431,25,422,27,780,26,735,30,948,30,0
Politeknik Negeri Ujung Pandang,Qzg4NThEN0YtMEE0MS00QzgwLTkyQjgtNTU0RUMwNjE4QkRE,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Kota Makassar,0411-585367,pnup@poliupg.ac.id,www.poliupg.ac.id,575,4808,675,4572,697,5754,683,5645,718,6445,667,6166,751,7050,762,2810
Politeknik Pertanian Negeri Pangkajene Kepulauan,MjQ3NUFFREMtRUIwMS00RjM4LTlBMjUtRTRENDA4RUNERDJB,"Poros Makassar-parepare Km 83 , Desa Manadlle, Kec. Mandalle, Kabupaten Pangkaje",Kec. Mandalle,0410-2312704,humas@polipangkep.ac.id,www.polipangkep.ac.id,297,1964,281,2034,358,2307,315,2244,400,2360,369,2055,410,2157,305,1845
Politeknik Pembangunan Pertanian Gowa,Q0Q4RjIzMEMtQ0I4MC00RjVELUIzMUQtMTREQ0M4M0YyRDUz,,Kab. Gowa,0411-8210117,info@polbangtan-gowa.ac.id,www.polbangtan-gowa.ac.id,42,1073,30,936,56,1195,47,1036,63,1805,55,1792,69,1460,0,1295
Institut Agama Kristen Negeri Ambon,NkZGRTQ2RTAtNEM4Qi00NjlGLThGMDUtNUU4MjUzMzA1NTA1,,Kota Ambon,08114711157,info@iaknambon.ac.id,www.iaknambon.ac.id,151,1538,129,1337,206,1612,176,1584,230,2336,180,2205,233,2973,1,43
Politeknik Negeri Ambon,N0MxQTk3NDUtMDA1MS00QkNCLUIzMUUtNDA4RDY3MThCOUI2,Jalan Ir M Putuhena Wailela Rumahtiga,Kota Ambon,0911-322714,info@polnam.ac.com,www.polnam.ac.id,192,3267,169,3054,156,3871,154,3117,271,3617,213,3668,323,3789,304,40
Politeknik Perikanan Negeri Tual,MDc5QzNDNkUtQTBEOC00REU2LTg4NjUtMDk0NjJDODZBMUNC,Jalan Langgur-Sathean Km. 6,Kab. Maluku Tenggara,091621377, sekretariat@polikant.ac.id, www.polikant.ac.id,139,1290,92,1606,147,1963,47,1841,122,1618,120,1518,137,2273,127,2154
Universitas Pattimura,NEU5QUY4MUQtRjczNy00N0RBLTkyRkMtRDJBRTAyNEE5QzM0,"Jalan Ir M Putuhena, Kampus Poka, AMBON ",Kec. Teluk Ambon,(0911)322626,rektor@unpatti.ac.id,www.unpatti.ac.id,2026,33729,1890,31452,2413,34114,2206,32809,2589,37527,2239,33541,2719,31931,2427,29165
Universitas Khairun,RjhFM0UyMTMtQTIxRC00MzE4LUFGNjMtQzlCRTRFNkRENzVF,Jalan Pertamina Kampus II Gambesi,Kec. Ternate Selatan,0921-31109013110903,univkhairun_tte@yahoo.co.id,unkhair.ac.id,858,16099,855,15332,954,17689,886,16326,1079,18202,840,20214,1171,21972,1093,16886
Institut Seni Budaya Indonesia Tanah Papua,MDY5MTIwRDMtMUZGNi00MTBCLTlDNjItMTM4MDNDMjk5RjZE,,Kab. Jayapura,082248901511,tanahpapua.isbi@gmail.com,www.isbi-tanahpapua.ac.id,1,422,1,404,1,454,10,435,38,442,23,439,54,485,49,481
Politeknik Negeri Fakfak,RDM3OEYyQTgtQjU3Mi00NkMwLTk2MzgtRDRFMTNENjhDODM2,Jl.Marsekal Adisucipto ,Kab. Fak-Fak,0956-24886,info@polinef.id,www.polinef.ac.id,38,347,37,445,53,611,42,609,69,734,63,617,78,994,59,152
Universitas Papua,MTA0ODVDQ0UtMjg0OC00QjAwLUIwQzAtMDFEM0I4RDBENTA0,"Jl Gunung Salju, Amban Manokwari",Kec. Manokwari Barat,"0986-211974, 211754",rektor@unipa.ac.id,https://bpak.unipa.ac.id/,1112,14959,919,10517,1119,11963,977,11367,1358,11908,1087,10945,1253,11590,1075,6618
Universitas Musamus Merauke,M0M3NjMwRTYtOEE0Ny00QzcxLTkyQUItNDdERkRDMUMyQkJG,Jalan Kamizaun Mopah Lama Merauke ,Kab. Merauke,0971-330651,info@unmus.ac.id,www.unmus.ac.id,211,10430,453,10152,529,11275,426,11351,480,12416,412,12147,608,14174,464,1034
