name,id,alamat,kota/kab,no telp,email,website,Total Dosen - 20191,Total Mhs - 20191,Total Dosen - 20192,Total Mhs - 20192,Total Dosen - 20201,Total Mhs - 20201,Total Dosen - 20202,Total Mhs - 20202,Total Dosen - 20211,Total Mhs - 20211,Total Dosen - 20212,Total Mhs - 20212,Total Dosen - 20221,Total Mhs - 20221,Total Dosen - 20222,Total Mhs - 20222
Universitas Dehasen Bengkulu,Nzk4NjI4QzAtMDZCOS00NDkwLTg4MjQtOTNDN0ZFNzE2MzY2,Jalan Meranti Raya No 32 ,Kec. Ratu Agung,0736-22-027, info@unived.ac.id, unived.ac.id,373,5479,369,4415,425,4626,386,4195,398,5210,363,4815,453,6020,395,5499
Universitas Prof Dr Hazairin SH,MjgzREYyNjUtODU0MS00ODI1LThERjMtNDBENEI1MUQ1MkE3,Jalan Jenderal Ahmad Yani No 1 ,Kota Bengkulu,0736 20956, unihaz_bengkulu@yahoo.com, unihaz.ac.id,127,6794,155,5949,200,4483,199,4341,188,4133,193,4080,205,4071,202,4060
Universitas Ratu Samban,NERERThDMTYtMEU2My00NjIwLTlERTgtRDZERTc0RkMwNDdE,Jl Jenderal Sudirman No 87 Bengkulu Utara,Kec. Arga Makmur,0737522613,ratusambanuniv@gmail.com,www.unras.ac.id,63,580,51,546,60,700,58,666,57,741,56,900,66,832,53,38
Sekolah Tinggi Ilmu Kesehatan Sapta Bakti,QzFGMTZDNzYtN0MxMy00Mzc5LUJCODMtM0Y3N0IzOEUwQUI5,,Kota Bengkulu,0736-346300,sapta_bakti@yahoo.co.id,,0,411,6,52,35,469,31,468,37,651,34,651,47,592,45,153
Sekolah Tinggi Ilmu Administrasi Bengkulu,RDYwMTU3RjgtMTAzQy00MTkyLUJGRjktMjAzODNGNzc5MzRB,"Jalan Cimanuk Km 6,5 Kelurahan Jalan Gedang Kecamatan Gading Cempaka Kota Bengk",Kota Bengkulu,0736-22309,stiabengkulu@yahoo.co.id,http;//www.stiabengkulu.ac.id,51,1230,41,1087,47,1297,49,1304,49,1478,47,1241,51,1848,51,0
Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,NDhBREE1NjktQ0Q2QS00QTk5LUE2NzUtMDFCMEMyRTU0ODI4,-,Kota Bengkulu,085369179919,humas@stiesnu-bengkulu.ac.id,stiesnu-bengkulu.ac.id,28,144,26,144,24,202,30,201,36,421,37,424,31,560,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Teknik Trisula,QkY3NTY3MEUtQjk2RC00QTQ3LTk0QjAtRDdBOTAwMjgwM0JG,Jl.M.Hasan 3 No.3 Pasar Baru Telp 0736 348 512 Bengkulu 38114,Kota Bengkulu,0736-348512,trisulabengkulu@yahoo.com,stittrisula.ac.id,2,427,2,386,0,430,0,432,0,395,3,343,1,414,2,316
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Politeknik Raflesia,OEIxREFDRjItREM5RC00RkFDLUI2OTQtMkZBMzA4MzNBRDBF,Jalan S Sukowati No 28 ,Kec. Curup Tengah,0732-325496,raflesiacrp@gmail.com, politeknikraflesia.ac.id,36,884,39,999,13,870,47,693,53,752,48,752,56,930,50,818
Akademi Kebidanan Manna,OEE0M0M2NjctODkwQi00OTM4LTlFNDYtNTlFQTg2RjY3MzQw,Jl Fatmawati Soekarno Manna ,Kab. Bengkulu Selatan,0739-21218, akbid.bengkulu.selatan@gmail.com, www.akbid_manna,9,57,8,52,6,39,6,39,6,37,6,37,6,62,6,38
Universitas Baturaja,MTM1M0MzOTEtMENBRS00MkIwLTlERkMtRjlDQzBENTExRkRE,Jl Ratu Penghulu No 2301 ,Kab. Ogan Komering Ulu,0735-326122,info@unbara.ac.id,www.unbara.ac.id,204,4057,190,3527,201,4132,200,3386,202,3588,194,3193,208,3646,210,3066
Universitas Bina Darma,NzIxQ0I4NzctNTg0QS00ODg4LUEwRUEtQzI4MzEwQ0M0QzNE,Jalan Jenderal Ahmad Yani No.12 Plaju,Kec. Plaju,0711-515582,universitas@binadarma.ac.id,www.binadarma.ac.id,344,7339,294,6774,331,7092,277,6770,320,7069,264,6429,270,7353,252,6255
Universitas IBA,ODQ0Qjk1NkQtMDIwQy00ODA3LTlDMkItQkI2RkE3MTQzMTg4,Jalan Mayor Ruslan ,Kota Palembang,0711-351364,uiba@iba.ac.id,www.iba.ac.id,89,856,72,722,81,810,77,579,86,675,74,673,86,702,72,968
Universitas Bina Insan,NzM1QkM5NDktRkZGQS00N0JBLTg2ODctMTgwNzgyMkRCNEFC,,Kota Lubuk Linggau,07334553932,admin@univbinainsan.ac.id,univbinainsan.ac.id,116,2552,112,2587,125,2726,113,2481,136,2734,124,2758,132,2926,140,2700
Universitas Kader Bangsa,NEFFNDYzQUQtQzE5Qy00RTg3LThGMTktMkI1RUE1NUNENTYx,Jl Mayjen HM Ryacudu No 88 ,Kota Palembang,0711-318311-510173,info@ukb.ac.id,www.ukb.ac.id,168,1649,175,1583,163,1738,150,1716,176,1609,162,1576,184,1840,148,1737
Universitas Katolik Musi Charitas,QzJFNDJGRDQtNDExQy00MjQ4LTlFOUYtNDJFMjFEN0M4MUZE,Jalan Bangau No.60 Palembang,Kec. Ilir Timur II,0711-378171,rektorat@ukmc.ac.id,www.ukmc.ac.id,175,2658,178,2276,177,2349,174,1981,175,2514,187,2159,212,2124,188,1891
Universitas Muhammadiyah Palembang,NkRFOEI0OTgtNUQyQS00RTY1LTlCODItQThEOUMzMzU2OUUy,Jalan Jenderal Ahmad Yani 13 ULU PLAJU PALEMBANG,Kec. Seberang Ulu II,0711-513022,humas@um-palembang.ac.id,www.um-palembang.ac.id,648,14082,655,11294,692,11680,688,10841,725,11426,620,10208,762,11298,695,8732
Universitas Palembang,MEEwOEU2QkYtODhCRi00RDlFLTk2NDItNkI4NDdEMzhCNTBG,Jalan Dharmapala No 1-A Bukit Besar Palembang,Kota Palembang,0711-440650,universitas_palembang@yahoo.com,www.unpal.ac.id,118,4046,123,3539,116,1713,102,1715,109,1960,108,2142,120,2196,120,2130
Universitas PGRI Palembang,RDFCOThDRTMtNUZGOC00NzVCLTgxRTgtRDY5MjJCN0MyQTY3,Jl Jenderal Ahmad Yani Lorong Gotong Royong 910,Kec. Seberang Ulu I,0711-510043, admin@univpgri-palembang.ac.id,univpgri-palembang.ac.id,389,13777,552,10785,530,10218,592,8808,569,9140,560,8480,518,9725,517,8874
Universitas Sjakhyakirti,QkEyNTFBQzQtNjlDMi00MEVFLTgwQkUtRTBGMjkyM0JBN0I2,Jl Sultan Muhammad Mansyur Kb Gede 32 Ilir,Kota Palembang,358320,sa@unisti.ac.id,www.unisti.ac.id,117,3772,122,3078,130,3652,138,3005,151,3182,148,3165,154,3295,124,3781
Universitas Indo Global Mandiri,NzE0QjFBNUYtMUQ2QS00OUIyLUE1NzctNjQ3MzJBOTQ5RDFD,Jl. Jendral Sudirman No. 629 Km. 3.5 Palembang,Kota Palembang,0711-322705,univ@igm.ac.id,www.uigm.ac.id,209,3053,176,2866,225,3121,205,2914,253,3643,234,3347,246,3914,211,3668
Universitas Musi Rawas,RjZDQURCOEYtMTA0Ny00MDYzLUJCMTUtOEIxN0MxQTREQTky,"Jalan Pembangunan Komplek Pemkab Musi Rawas, Kel. Air Kuti",Kec. Lubuk Linggau Timur I,0733-451-646, unmura@gmail.com, unmura.ac.id,101,1375,100,1218,94,1291,102,1198,102,1314,162,1262,133,1277,123,882
Universitas Sumatera Selatan,MTBBNTIyNjMtMUFEQS00QTQwLUFBMkMtNTJGMEE4RDQwNjIw,,Kota Palembang,(0711) 411459,info@uss.ac.id,https://uss.ac.id,36,998,35,974,47,1176,49,1176,49,1222,46,1220,46,1263,44,843
Sekolah Tinggi Bahasa Asing Methodist,Q0ZCNUIwRjctNDAwMC00MDhCLUFFRUQtOEUyRUMyNDkwRDk3,"Jl Jenderal Sudirman Km 3,5 ",Kota Palembang,0711-368221,,,18,49,17,45,18,49,18,46,17,34,14,30,16,35,17,12
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Administrasi Satya Negara,RTA4QzZGMDUtMkREMS00NzY2LUIwMTQtMDc2RUU2MTg2MDg4,Jalan Sukarejo Sukatani,Kec. Ilir Timur II,0711-826043,satyanegerapalembang@yahoo.co.id,stiasatyanegara.ac.id,33,1707,34,1560,35,1421,38,1416,37,1327,38,1261,38,1187,37,536
Sekolah Tinggi Ilmu Farmasi Bhakti Pertiwi,QUZBNUUyMDctQUFEQi00QjIxLThBREItNEZCNTU2N0RDMjk2,JL. ARIODILLAH III NO.22 A,Kota Palembang,0711-315579,stifibp@gmail.com,www.stifibp.ac.id,59,1091,57,1043,56,988,47,959,52,962,47,937,54,964,48,948
Sekolah Tinggi Ilmu Hukum Rahmaniyah,NTU0M0NEMjUtRkU2RC00NjRELThGMDktNkY0Q0RDMjZCREJD,Jalan Merdeka No 531 ,Kab. Musi Banyu Asin,0714 322495,,,9,303,9,298,10,350,10,333,11,362,10,362,11,409,10,408
,,,,,,,0,434,0,347,0,415,0,344,0,409,0,324,0,0,0,0
Sekolah Tinggi Ilmu Hukum Sumpah Pemuda,N0ZGRjRDMTktM0UyMS00MTA1LUE3MTYtRDc3OTc2Q0NGMzNG,Jl Sukabangun Ii No 1610 ,Kota Palembang,0711-418873,stihpada@gmail.com,http://www.stihpada.ac.id,40,2912,38,2900,45,2439,44,2462,47,2000,47,1831,43,2174,43,270
Sekolah Tinggi Ilmu Kesehatan Bina Husada,QjU3OEU0N0UtNTg1OC00QkM2LThCOTktOEJGM0UxMUJDMjk4,Jalan Syech Abdul Somad No 28 ,Kec. Ilir Barat I,0711-357378,info@binahusada.ac.id,www.binahusada.ac.id,95,1132,105,1044,113,833,124,829,137,823,122,805,134,4336,124,1024
,,,,,,,,,,,,,,,,,,,,,,
Sekolah Tinggi Ilmu Pertanian Sriwigama,MjBGRTRFRDItMjUyQi00QTU2LUE5MDctQzk2RkJDRUM5NjJB,Jalan Demang V Demang Lebar Daun Lorok Pakjo,Kota Palembang,0711-374146, info@stipersriwigama.ac.id, https://stipersriwigama.ac.id ,26,102,19,90,35,102,31,102,26,168,22,170,28,202,25,7
,,,,,,,0,116,0,100,0,120,0,100,0,119,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
STIKESMAS Abdi Nusa,REVBOTY1MjYtMzVDRC00RTUzLUI1N0ItMzI4MjI3QjRCRDI5,Jl.RE.Martadinata No.1 Palembang,Kota Palembang,0711-5611133,abdinusastikes@gmail.com,Stikesabdinusapalembang.ac.id ,14,195,14,185,14,150,14,149,14,173,15,160,16,317,15,41
STIKESMAS Nusantara,QTg2NUJFODItMzg0Ni00MDNBLUJCQTMtMEU1QjhERjAwQzc3,Jl Insp Marzuki No 124 Siring Agung Pakjo,Kota Palembang,(0711) 5573755, stikesmasnusantaraplg@gmail.com, www.stikmnusantara.ac.id,10,69,10,73,10,103,10,104,10,112,10,107,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,122,0,119,0,81,0,77,0,57,0,60,0,0,0,0
STISIPOL Candradimuka,RTk0RTA4QzgtOUNDRS00MkI1LTk3ODUtQzY4MjBENTU3RTU0,Jalan Swadaya Sekip Ujung 20 Ilir Ii,Kec. Kemuning,(0711) 811542,campus@stisipolcandradimuka.ac.id,stisipolcandradimuka.ac.id,105,2265,90,2095,106,2238,89,2328,112,2434,109,2281,113,2240,103,2037
STKIP Muhammadiyah Pagaralam,OTcwMDdENjEtNDZEOS00QkY0LTk2RTAtQ0M5RDQ4OTlCOTQ0,Jl Kombes H Umar No 1123 Kel Kauman Pagaralam Selatan,Kota Pagar Alam,0730 - 624773,stkipmuhpagaralam@gmail.com,http://www.stkipm-pagaralam.ac.id,49,340,35,318,38,413,34,401,40,562,37,563,32,649,33,0
,,,,,,,0,2397,0,2346,0,2442,0,2321,0,2713,0,0,0,0,0,0
,,,,,,,0,173,0,173,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,965,0,654,0,750,0,656,0,738,0,694,0,0,0,0
,,,,,,,0,918,0,826,0,998,0,883,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,333,0,281,0,389,0,391,0,471,0,0,0,0,0,0
Politeknik Anika Palembang,ODM3RThGMDAtRjg1Ni00MTFELUJFMkUtQzNDOEIwOURDQzYz,"Jalan Kol H Burlian No 992 Km 7,5 Palembang",Kec. Sukarami,081278303123,polika_anika@yahoo.co.id,poltekanika.ac.id,12,53,15,37,18,39,11,36,5,6,0,0,0,0,0,0
,,,,,,,0,530,0,300,0,426,0,405,0,401,0,333,0,0,0,0
Politeknik Akamigas Palembang,REZCNEJGNjUtQkZBRi00MTlCLUE1MkUtQzJBNDIzRUI4MTU3,Jl. Kebon Jahe Komplek Pertamina (Komperta) Plaju,Kota Palembang,0811-7810800,admin@pap.ac.id,https://www.akamigaspalembang.ac.id/,59,723,38,708,63,704,40,700,64,562,37,553,66,597,41,581
Politeknik Sekayu,OTY5RDZBQjEtNUM4RC00RkM2LTg4M0EtOTY5ODczMEEwQTIx,"Jl Kolonel Wahid Udin, Kel. Kayuara, Kec. Sekayu",Kab. Musi Banyu Asin,0714-321099,info@polsky.ac.id,www.polsky.ac.id,18,515,19,504,17,419,16,417,11,302,16,301,11,198,14,185
Akademi Akuntansi dan Manajemen Pembangunan,OERGM0U4M0UtRDEyNS00OUNDLUFBRUEtODYyRjczN0I2MTU1,,Kota Bengkulu,081367274446,aampbkl@gmail.com,www.aamp.ac.id,0,0,0,0,0,0,0,0,0,0,0,0,4,42,5,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Analis Kesehatan Widya Dharma,MjZCMzhCQ0UtNDBCNC00NjYyLThCNTYtRDdGQjI4Q0YwNzY3,"Jl Kol H Burlian N0 7 Km 6,5 ",Kota Palembang,0711410104,,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Bahasa Asing Bina Insan Indonesia,NEExQjdBRDUtMTQ4NC00NTRCLUE1RTAtMjIwM0UwREI2QjhD,Jalan H.M. RYACUDU NO.24 (KEL 8 ULU) ,Kota Palembang,0711-516999,info@ababiiplg.ac.id,www.ababiiplg.ac.id,8,49,6,50,6,46,6,46,9,40,8,29,7,26,7,18
Akademi Kebidanan Heppy Zal,RDJBNDcyOTktMzRGNS00OThGLTgyRTctODJDMDNEODZEN0Yz,Jalan Tangga Takat No 1 ,Kota Palembang,513617-512405,heppyzal@.com,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Maritim Bina Bahari,MjcwMkVGMDItMUFCMC00RTAwLTg5NzctNzNEREMyNDJBMzUy,Jalan Kamil No. 1061 Kecamatan Sukarame KM 6 Palembang Telp.0711-7012677  ,Kota Palembang,0711-5611133,akmarbinabahariplg@gmail.com,akmar-binabahari-plg.ac.id,9,339,7,308,8,260,8,240,10,166,10,161,9,173,9,169
Akademi Pariwisata Widya Dharma,NEUzNDk3NzYtRkY2Mi00MEEzLUE2M0ItQzVBQ0FDREU0OTQx,Jl Kol H Burlian No 7 Km 65 ,Kota Palembang,0711 410104,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Sekretari Dan Manajemen Sriwijaya,MjcwOTMxNTktQ0E2Ri00REI2LTkxRTAtREMyOEFGNDdCNTM0,Jl Letnan Murod No 35 Km 5 Talang Ratu,Kec. Ilir Timur I,(0711)411288,asmi.sriwijaya@gmail.com, ,22,124,20,129,17,1,15,74,10,2,10,48,10,1,0,0
,,,,,,,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,73,0,51,0,0,0,0,0,0,0,0,0,0,0,0
AMIK Sigma,QTU5QTBFNzEtNDgyQy00NjJBLTg4NjItQzMzMUE5ODFDNDA4,Jalan diponegoro Baru (Simpang Kedaung),Kota Palembang,0711-318080,univsigma@gmail.com,www.sigma.ac.id,24,173,14,103,8,194,15,188,22,204,15,136,0,65,0,0
AMIK Bina Sriwijaya,NzRBQjhFQUEtRTRCNS00RTVGLThFNUUtODBGNDNDQ0ZBMjVD,JL.H.M. Ryacudu No.24 Kel. 8 Ulu Palembang Provinsi Sumatera Selatan ,Kota Palembang,0711 516999,info@binasriwijaya.ac.id,www.binasriwijaya.ac.id,25,615,22,533,26,477,21,477,25,544,16,456,26,381,23,151
Universitas Bandar Lampung,M0RFNzMxNjYtQjlFRS00NkI5LThCNDMtNEVBMEM1MDVGMzgy,Jalan ZA Pagar Alam No 26 Labuhan Ratu,Kota Bandar Lampung,0721701463,www@ubl.ac.id,www.ubl.ac.id,159,8573,154,7268,176,9256,151,9742,283,7053,269,6509,289,6838,283,6159
Universitas Malahayati,RkUxMjc3RTUtRjVBRC00NTFGLUI3RjUtNTNDNjVERjFBQThE,"Jalan Pramuka No 27, Kemiling ",Kec. Kemiling,0721-271112,rektor@malahayati.ac.id,http://malahayati.ac.id/,269,4980,278,4619,305,4787,286,4439,363,4564,350,4221,381,5583,350,1706
Universitas Mitra Indonesia,NTVEMkZCREYtQjhGMC00MThDLUE3RTktMUE2QTY4OTJFQUZE,,Kec. Rajabasa,"0721-788960, 701418",umitra_indonesia@umitra.ac.id,www.umitra.ac.id,170,2583,175,2581,200,2760,190,2229,220,2317,185,2253,207,2506,230,2496
Universitas Muhammadiyah Lampung,ODIwMEFEQUYtMzFCMy00RTAxLThGMUQtNzE3MDE0RTcwNkFC,Jalan ZA Pagaralam No 14 ,Kec. Kedaton,0721-701246-705178,um_lampung@yahoo.co.id,www.uml.ac.id.,124,1886,111,1784,143,1984,133,1827,140,1857,129,1904,141,1960,129,84
Universitas Muhammadiyah Metro,QzRDRjgyQjQtODk0MS00MDRDLUFERDgtMDdEODZDMTIxMkJF,Jl Ki Hajar Dewantara No 116 Iringmulyo Kec Metro Timur,Kota Metro,(0725) 42445-42454,info@ummetro.ac.id,www.ummetro.ac.id,387,5701,324,4904,358,6072,281,5706,335,6131,281,5860,382,6307,267,46
Universitas Nahdlatul Ulama Lampung,OEE4OEFCMjctNDY0MS00MjM5LUE5RUUtQTQ4RjkyMjQ1REYx,"Jln. Lintas Pantai Timur, Purbolinggo lampung timur",Kec. Purbolinggo,0725-7660179,akademik@unulampung.ac.id,www.unulampung.ac.id,114,2456,144,2532,146,3378,204,3369,146,4597,137,4241,222,4909,168,4616
Universitas Satu Nusa Lampung,NDdCNTVCQTItQTY3MC00NUJELTlBOTctRTZGRUU0NTIwMzUw,,Kota Bandar Lampung,,,,0,232,0,234,0,325,0,349,0,460,0,472,60,545,54,7
Universitas Teknokrat Indonesia,Njc0NzdEQTctNkUyMy00RjlBLTgxODgtQzE3NDU0RTFDQjkw,Jl. Z.A. Pagar Alam No. 9-11 Labuhan Ratu,Kec. Labuhan Ratu,0721-702022,uti@teknokrat.ac.id,www.teknokrat.ac.id,410,7107,350,6293,359,6536,309,6198,323,6544,279,6494,282,6269,235,677
Universitas Tulang Bawang,QjNFODI3MDAtMTU3QS00RkExLUE0M0QtNkFENkE1RTBDRjlB,Jalan Gajahmada 34 Kotabaru ,Kota Bandar Lampung,(0721) 252686 257108,admin@utb.ac.id,http://utb.ac.id,89,2870,75,2438,91,2731,74,2436,99,2614,75,2406,106,1990,71,1185
Universitas Aisyah Pringsewu,NjI5OTRCNkItQzYzOC00ODQyLTlBNjQtQUE3MkUwQTYxODZD,Jl. Raya A. Yani No. 1A Tambahrejo Kecamatan Gadingrejo Kabupaten Pringsewu,Kab. Pringsewu,07297082982,email@aisyahuniversity.ac.id,www.aisyahuniversity.ac.id,63,1361,64,1367,115,1792,113,1823,148,2514,155,2467,233,3168,216,2411
Universitas Muhammadiyah Kotabumi,MzQxRDg5MkMtREMwNS00RThCLTlFNTctMDc5NkMwNDBDMDk2,"Jln. Hasan Kepala Ratu No. 1052 Sindangsari Kotabumi, Lampung Utara 34517",Kab. Lampung Utara,+6272422287 ,humas@umko.ac.id,https://www.umko.ac.id,7,1520,77,1419,110,1949,98,1900,127,2233,123,2250,157,2572,158,2401
Universitas Islam An Nur Lampung,OTU3ODc1MTUtNkFFRi00OUQwLTg2QzctRDk0MzI1Mzc1MEI1,,Kab. Lampung Selatan,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institut Informatika Dan Bisnis Darmajaya,NDk3OUU5RTYtOTk1Qi00NDA5LTk2OTEtNEJBREI0NUNBNUZB,Jl ZA Pagar Alam No 93 Labuhan Ratu (dh. STMIK-STIE Daramajaya),Kec. Kedaton,"(0721)787214, 781310",info@darmajaya.ac.id,http://darmajaya.ac.id,217,4978,247,6036,250,4918,225,4559,205,4930,213,4610,215,5337,214,2918
Institut Maritim Prasetiya Mandiri,QTdGNjMzN0QtNUQ0Ny00OEMwLUFBMjItMDBCN0NGRDlBNkNF,,Kota Bandar Lampung,082186808887,admin@impm.ac.id,impm.ac.id,0,443,0,446,0,623,11,624,73,695,65,692,68,730,66,720
Institut Teknologi dan Bisnis Diniyyah Lampung,MzE4ODBBODItQzdCNC00ODFFLTlGNEEtN0U0Njg0MUEzOUIy,Kabupaten Pesawaran Provinsi Lampung,Kab. Pasawaran,08117900072,humas.instidla@gmail.com,www.instidla.ac.id,0,0,0,0,12,29,13,29,21,63,20,63,25,135,20,0
Institut Teknologi dan Bisnis Mesuji,RjM0M0I1MDQtMDVDRC00MDhDLTg5RDQtQUY2MzRFNzIxRUUz,,Kab. Mesuji,+6282279390301,itbmesuji20@gmail.com,itb-mesuji.ac.id,0,0,0,0,0,46,0,40,15,101,19,103,21,117,17,0
,,,,,,,0,135,0,71,0,53,0,35,0,66,0,0,0,0,0,0
Sekolah Tinggi Ilmu Hukum Muhammadiyah Kalianda,QzE2NDI3MUEtMDEwRS00RTAzLTg3Q0EtRjM5NjA0OTlBOEI2,Jalan Kedaton No 17 Kalianda Lampung Selatan,Kab. Lampung Selatan,0727-322145,stihmxanda@gmail.com,https://stihmuhammadiyahkalianda.ac.id,13,439,9,308,10,309,10,262,11,262,10,203,10,234,9,234
Sekolah Tinggi Ilmu Ekonomi Gentiaras,REZDMjgwRkQtODM1NC00MkQ3LUI3MUQtMzY3MkVBNkQyMUFC,Jl Purnawirawan No 14 Gedong Meneng Bandar Lampung,Kota Bandar Lampung,0721.781.403,gentiaras@gmail.com / kampus@stie.gentiaras.ac.id,www.stie.gentiaras.ac.id,36,402,36,387,39,380,36,381,31,391,33,382,29,371,29,371
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,232,0,208,0,137,0,137,0,0,0,0,0,0,0,0
Sekolah Tinggi Ilmu Pertanian Dharma Wacana,OTlFOTI2QjItMzQyMi00REFCLUE5RjYtNTQwODQzMDk3Mzg1,Jalan Kenanga No 3 Mulyojati 16c Kota Metro,Kota Metro,(0725) 41089,stiperdwmetro@gmail.com,stiperdharmawacana.ac.id,32,696,0,621,37,644,42,533,38,622,40,633,39,731,42,709
Sekolah Tinggi Ilmu Pertanian Surya Dharma,MkJGMjE2MkEtRkQ1My00OTEwLUIwRTAtQTBGRjVGRkMyQ0U5,Jln. Ki Maja Gang Pertama No 1 Way Halim,Kota Bandar Lampung,0721 783787,-,-,6,590,7,587,0,582,6,215,6,201,6,201,6,161,6,76
,,,,,,,0,103,0,116,0,166,0,170,0,223,0,0,0,0,0,0
STISIPOL Dharma Wacana,NDdEOThGRTYtNTg5Ri00QTA2LTkyQzEtNUNGMkIxQUE3NTA4,Jalan Kenanga No 3 Kelurahan Mulyojati 16-C,Kota Metro,(0725)43241,stisipol.metro@stisipoldharmawacana.ac.id,stisipoldharmawacana.ac.id,0,1829,0,1667,0,937,0,863,21,932,21,839,21,949,22,44
STKIP Dharma Wacana,QjVFRDBFQjEtQjgyNS00RURBLUI0RTQtRUExOEQzQTA2MDcy,Jl Soekarno-hatta Mulyojati Metro Barat,Kec. Metro Barat,0725-7850606,stkipdwmetro@gmail.com, ,0,977,0,861,0,775,0,677,0,577,0,96,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STKIP PGRI Bandar Lampung,NTU0OEYwQjItNkNFNC00RDcwLUFEQzMtRDlGRjkzNDdFRjlG,Jl. Khairil Anwar No 79 Tanjungkarang Pusat  Bandar Lampung,Kota Bandar Lampung,"0721-259166, 255289",stkippgribl@gmail.com,siakad.stkippgribl.ac.id,91,2436,94,2392,98,2310,98,2202,100,2233,102,1924,98,2338,97,2349
STMIK Dharma Wacana Metro,MzBBMTI0Q0ItNEMzQS00MTAxLTg3QkQtQjA1NUI3MTAzN0RE,JL.Kenanga No.3 Mulyojati 16c Metro Barat PO BOX 156,Kota Metro,07257850671,info@stmikdharmawacana.ac.id,www.stmikdharmawacana.ac.id,18,403,16,361,21,410,21,397,25,409,18,0,22,490,19,29
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,113,0,112,0,99,0,70,0,90,0,0,0,0,0,0
STMIK Pringsewu,REVDQTE1MjEtMEEyRS00QzQyLUEwNkYtN0ZFQTVGRkRDNUEy,Jl. Wismarini No. 09 Pringsewu  Lampung,Kab. Pringsewu,0729-22240,stmikpringsewu857@gmail.com,stmikpringsewu.ac.id,103,2049,98,1958,97,1676,104,1622,101,1550,80,1516,106,0,77,1
Politeknik Gajah Sakti,Nzc3MThCMTAtQTcyQi00ODA0LTlDNDktNTY0RUNFNzY4ODJF,Jl Natuna 22 Hadimulyo Barat ,Kec. Metro Barat,0725-44724-7850530,,,15,142,15,209,7,139,10,9,29,22,19,22,17,31,26,25
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,148,0,96,0,75,0,72,0,0,0,0,0,0,0,0
,,,,,,,0,165,0,148,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akademi Kebidanan Wira Buana,MTUyNDhGMzYtQjlGOC00REVFLUE0MUYtMEQ3QUI5Njg5OTE0,"Jalan A.H Nasution No 243, RT 15 RW.08 Kel. Yosodadi",Kec. Metro Timur,0725 49278,buanawira38@gmail.com, http://www.akbid-wirabuana.ac.id/,8,80,8,80,7,68,9,67,9,66,8,66,10,105,11,101
Akademi Pariwisata Satu Nusa,RUE3MDE5NzAtMUE1RS00Mjk5LTg4QUEtQjEwNUY3MzhBMTZF,Jalan Cut Mutiah No 19 A Telukbetung,Kota Bandar Lampung,0721-700299,akparsanptssatunusa@yahoo.com,www.akparsan.com,9,70,10,61,9,52,9,46,6,51,6,51,6,60,6,58
,,,,,,,0,106,0,72,0,72,0,80,0,0,0,0,0,0,0,0
,,,,,,,0,100,0,93,0,67,0,66,0,0,0,0,0,0,0,0
,,,,,,,0,887,0,887,0,675,0,659,0,725,0,728,0,0,0,0
,,,,,,,0,107,0,82,0,64,0,64,0,88,0,37,0,0,0,0
AMIK Master Lampung,ODlBQjY5OEYtN0JFOS00RDVCLUExQzQtNDg2MTg1NkVGQzQ1,Jalan Kartini No 33 Blok 6-10 ,Kota Bandar Lampung,08117901010,amikmaster96@gmail.com,,0,69,0,69,0,69,0,131,0,298,0,312,0,343,0,2
